Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
12,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,20,1999,35.6,42,4,0,7,1,45.7,0.29,+4.7,+0.13,222,469,47.3,882,172,38.4,34.4,260,50.0,39.1,306,29,9.5,20,0.56,14.7,Matches
13,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,21,1997,31.0,43,6,2,6,0,43.1,0.29,+0.1,0.00,138,380,36.3,682,195,39.9,37.0,222,48.6,42.1,285,19,6.7,14,0.45,12.6,Matches
14,Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,Sampdoria,24,1995,2.0,5,1,0,0,0,5.7,0.35,+0.7,+0.36,8,29,27.6,43,11,39.5,32.6,18,66.7,47.9,15,0,0.0,1,0.50,13.8,Matches
15,Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,22,1997,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.14,4,16,25.0,34,4,35.3,35.0,10,40.0,36.2,8,1,12.5,0,0.00,10.2,Matches
16,Gabriel\Gabriel,br BRA,GK,Lecce,26,1992,33.3,76,10,1,12,3,80.7,0.34,+7.7,+0.23,147,354,41.5,653,194,36.1,34.9,326,36.2,31.8,382,21,5.5,12,0.36,13.6,Matches
17,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,24,1995,32.0,42,6,2,4,3,34.6,0.27,-4.4,-0.14,188,422,44.5,758,171,37.1,37.0,210,67.1,52.5,207,15,7.2,37,1.15,15.7,Matches
18,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,35,1984,35.0,32,2,0,4,1,32.5,0.28,+1.5,+0.04,148,284,52.1,850,187,24.2,29.4,264,29.5,30.3,333,21,6.3,12,0.34,12.0,Matches
19,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,26,1993,29.0,59,9,0,9,3,60.7,0.31,+4.7,+0.16,162,423,38.3,573,160,49.7,41.5,276,50.0,42.0,356,27,7.6,10,0.34,13.0,Matches
20,Karlo Letica\Karlo-Letica,hr CRO,GK,SPAL,22,1997,10.0,29,0,2,1,1,22.7,0.34,-5.3,-0.53,64,174,36.8,226,53,50.0,40.6,93,65.6,48.6,103,7,6.8,1,0.10,11.7,Matches
21,Pau López\Pau-Lopez,es ESP,GK,Roma,24,1994,32.0,45,8,1,4,0,42.7,0.29,-2.3,-0.07,175,373,46.9,848,179,34.8,33.6,208,37.5,35.4,238,15,6.3,24,0.75,14.9,Matches
22,Alex Meret\Alex-Meret,it ITA,GK,Napoli,22,1997,21.7,33,5,0,3,1,27.6,0.29,-4.4,-0.20,49,133,36.8,464,85,23.7,28.1,137,16.8,24.4,153,8,5.2,6,0.28,12.1,Matches
23,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,36,1983,5.0,5,1,0,0,0,5.8,0.25,+0.8,+0.16,26,56,46.4,143,31,35.0,32.8,29,20.7,30.3,50,4,8.0,4,0.80,13.3,Matches
24,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,25,1994,38.0,51,8,2,6,0,53.8,0.24,+2.8,+0.07,218,491,44.4,819,171,40.9,36.3,359,43.5,36.6,364,38,10.4,15,0.39,12.2,Matches
25,Robin Olsen\Robin-Olsen,se SWE,GK,Cagliari,29,1990,16.9,24,4,0,1,2,22.1,0.23,+0.1,0.00,105,278,37.8,341,62,55.4,45.1,159,56.0,47.3,201,12,6.0,4,0.24,11.2,Matches
26,David Ospina\David-Ospina,co COL,GK,Napoli,30,1988,16.3,17,2,1,2,0,18.0,0.31,+1.0,+0.06,54,109,49.5,383,58,23.5,28.3,84,22.6,24.1,127,11,8.7,9,0.55,14.0,Matches
27,Daniele Padelli\Daniele-Padelli,it ITA,GK,Inter,33,1985,3.0,4,1,0,2,0,3.1,0.38,-0.9,-0.29,10,24,41.7,67,14,26.9,32.0,24,25.0,30.7,36,1,2.8,0,0.00,9.3,Matches
28,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,38,1981,5.0,4,0,0,0,1,6.0,0.23,+3.0,+0.60,15,39,38.5,122,24,24.6,27.0,36,25.0,22.8,37,1,2.7,1,0.20,11.4,Matches
29,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,26,1992,21.0,38,1,1,4,1,37.1,0.37,+0.1,+0.01,146,408,35.8,546,93,56.8,44.6,189,51.9,44.1,213,11,5.2,8,0.38,12.3,Matches
30,Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,29,1990,0.2,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,0.0,21.0,2,50.0,30.0,0,0,,0,0.00,,Matches
31,Ionuț Radu\Ionut-Radu,ro ROU,GK,Genoa,22,1997,17.0,35,6,2,4,1,31.7,0.30,-2.3,-0.14,89,206,43.2,506,85,35.0,34.2,153,19.0,27.9,179,9,5.0,4,0.24,11.5,Matches
32,Boris Radunović\Boris-Radunovic,rs SRB,GK,Hellas Verona,23,1996,3.0,8,2,1,3,0,6.8,0.38,-1.2,-0.41,14,37,37.8,47,10,51.1,40.7,14,92.9,64.5,14,1,7.1,0,0.00,13.8,Matches
33,Rafael\Rafael,br BRA,GK,Cagliari,37,1982,5.0,11,2,0,0,0,9.4,0.50,-1.6,-0.33,35,79,44.3,106,16,58.5,41.8,47,36.2,35.8,70,5,7.1,2,0.40,12.0,Matches
34,Pepe Reina\Pepe-Reina,es ESP,GK,Milan,36,1982,1.0,1,0,1,0,0,1.6,0.18,+0.6,+0.57,11,21,52.4,30,6,53.3,39.7,7,71.4,50.7,11,2,18.2,2,2.00,19.6,Matches
35,Antonio Rosati\Antonio-Rosati,it ITA,GK,Torino,36,1983,1.0,1,0,0,0,0,0.8,0.15,-0.2,-0.25,12,21,57.1,22,6,50.0,32.7,15,66.7,40.9,7,0,0.0,0,0.00,10.0,Matches
36,Francesco Rossi\Francesco-Rossi,it ITA,GK,Atalanta,28,1991,0.1,1,0,0,0,0,0.8,0.79,-0.2,-1.76,1,1,100.0,3,1,33.3,26.7,0,,,0,0,,0,0.00,15.0,Matches
37,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,28,1991,34.0,53,6,1,10,0,53.9,0.26,+0.9,+0.03,276,562,49.1,809,114,51.2,41.6,329,45.0,35.3,391,12,3.1,8,0.24,13.0,Matches
38,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,28,1991,35.0,43,7,1,7,1,42.3,0.25,+0.3,+0.01,193,718,26.9,661,78,66.3,48.1,330,84.8,59.2,367,17,4.6,9,0.26,12.0,Matches
39,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,32,1987,36.0,64,9,3,9,3,64.9,0.31,+3.9,+0.11,292,610,47.9,828,113,48.1,40.0,334,63.5,45.2,378,25,6.6,14,0.39,13.3,Matches
40,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,28,1991,37.0,64,6,2,6,1,57.2,0.29,-5.8,-0.16,197,445,44.3,855,216,37.7,35.3,292,42.1,34.8,320,46,14.4,15,0.41,12.9,Matches
41,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,27,1992,5.8,5,0,0,0,0,4.6,0.24,-0.4,-0.06,11,32,34.4,125,30,17.6,27.7,27,37.0,37.1,31,4,12.9,7,1.20,19.3,Matches
42,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,24,1995,38.0,42,7,1,8,1,45.5,0.27,+4.5,+0.12,202,453,44.6,932,149,40.7,34.5,292,25.3,27.2,282,15,5.3,17,0.45,13.9,Matches
43,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,29,1990,28.8,33,8,1,4,0,34.6,0.22,+1.6,+0.06,108,200,54.0,565,157,28.5,32.5,196,19.9,26.8,219,11,5.0,22,0.76,15.0,Matches
44,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,29,1990,6.9,5,3,0,0,0,6.2,0.19,+1.2,+0.17,27,91,29.7,151,36,45.0,39.0,59,39.0,35.9,86,6,7.0,5,0.72,13.2,Matches
45,Demba Thiam\Demba-Thiam,sn SEN,GK,SPAL,21,1998,2.0,4,1,0,2,0,3.4,0.18,-0.6,-0.29,10,25,40.0,44,13,36.4,36.1,27,33.3,29.6,19,1,5.3,1,0.50,15.2,Matches
46,Stefano Turati\Stefano-Turati,it ITA,GK,Sassuolo,,,2.0,4,1,0,0,0,3.8,0.26,-0.2,-0.08,4,12,33.3,37,9,24.3,26.9,14,21.4,25.6,20,2,10.0,2,1.00,18.2,Matches
47,Samir Ujkani\Samir-Ujkani,xk KVX,GK,Torino,31,1988,1.0,3,1,0,1,0,2.7,0.35,-0.3,-0.31,8,14,57.1,43,2,30.2,33.4,9,11.1,25.4,9,0,0.0,1,1.00,18.0,Matches
48,Mauro Vigorito\Mauro-Vigorito,it ITA,GK,Lecce,29,1990,4.7,9,1,0,1,0,9.5,0.34,+0.5,+0.11,24,64,37.5,104,27,43.3,36.3,49,38.8,32.2,61,4,6.6,1,0.21,11.6,Matches
